ID,Area,City,Restaurant,Demand,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Delivery Status
303775,Garodia Nagar,Mumbai,Mr. Baker,Low,100,2.9,80,Bakery,Ghatkopar East,51,Delayed
303850,Kurla West,Mumbai,Janata Tawa And Grill,Low,500,4.2,100,"Indian,Chinese,Tandoor",Kurla,32,In Time
303884,Kodambakkam,Chennai,Venkateswara Veg Restaurant,Low,100,4.6,50,South Indian,Kodambakkam,61,Delayed
303933,Ashok Nagar,Bangalore,Abc Kolkata Kitchen,Low,250,2.9,80,"Indian,Chinese,Seafood,Kebabs,Snacks,Combo",Ashok Nagar,45,Delayed
303939,Khairtabad,Hyderabad,Astoria Restaurant,Low,300,3.7,20,"Biryani,Chinese,Indian",Saifabad,40,In Time
303947,Bandra Area,Mumbai,The Bluebop Cafe,Low,1100,4.6,100,Italian  American  Mexican  Pastas  Pizzas  Desserts  Salads  Snacks,Bandra West,62,Delayed
304068,Anna Nagar,Chennai,Writer'S Express,Low,400,3.9,100,European,Annanagar,64,Delayed
304203,Nampally,Hyderabad,Voulga Restaurant,Low,500,3.7,20,North Indian  Chinese  Biryani  Fast Food,Aghapura,36,In Time
304268,B.B.D. Bagh,Kolkata,Cafe Coffee Day,Low,300,4.2,50,Beverages  Snacks  Desserts,Central Kolkata,44,In Time
304274,Ashok Nagar,Bangalore,Cafe Coffee Day,Low,300,2.9,80,"Beverages,Snacks,Desserts",Barton Centre M G Road-Bangalore,38,In Time
304391,Vile Parle,Mumbai,Thai Naam By Chef Ananda,Low,1500,4.3,20,"Thai,Oriental,Seafood,Pan-Asian,Asian",Powai Area,61,Delayed
304403,Ghatkopar East,Mumbai,Hotel Navgraha (Tilak Nagar),Low,200,4.4,100,"Chinese,Indian",Opp To Shopper Stopghatkopar,44,In Time
304448,Chembur,Mumbai,Fat Panda,Low,350,2.9,80,"Chinese,Indian",Chembur,50,Delayed
304497,Himayatnagar,Hyderabad,Saara Veg,Low,400,4.2,50,"Indian,Chinese",Himayath Nagar,36,In Time
304501,Domlur,Bangalore,The Baker'S Dozen,Low,300,4.3,100,Bakery,Indiranagar,48,Delayed
304570,Tangra,Kolkata,Fabelle Chocolates - Itc Sonar,Low,600,4.5,100,"Bakery,Desserts,Sweets",Banquet Gate Itc Sonar,72,Delayed
304573,Saki Naka,Mumbai,Youmee,Low,1600,2.9,80,"Japanese,Pan-Asian",Phoenix Market City,49,Delayed
304576,Powai Area,Mumbai,Fabelle Chocolates - Itc Maratha,Low,600,4.5,50,Bakery  Desserts  Sweets,Powai Area,57,Delayed
304580,Ashok Nagar,Bangalore,Fabelle Chocolates - Itc Gardenia,Low,600,2.9,80,"Bakery,Desserts,Sweets",Ashok Nagarbengaluru,34,In Time
304729,Anna Nagar,Chennai,Indian Kitchen By Sigree,Low,400,4.1,20,"Indian,North Indian,Mughlai,Biryani,Punjabi",Anna Nagar East,70,Delayed
304826,Bidhannagar,Kolkata,Fusion Pavilion,Low,300,4,100,"American,Italian",Salt Lake,71,Delayed
305031,Tiljala,Kolkata,Kela Patta,High,100,4,500,South Indian,Ruby Area,60,Delayed
305082,East Kolkata Township,Kolkata,Blues - The Food Point,Low,200,2.9,80,"Indian,Mughlai,Chinese,Biryani,Fast Food,Punjabi",Ruby Area,82,Delayed
305084,Redhills,Hyderabad,Biryani Tales -By Rayalaseema Ruchulu,Low,399,3.7,20,"Biryani,Kebabs,Hyderabadi,Tandoor",Banjara Hills,39,In Time
